1,4,5,6,8,11,14,19,26,27,31,32,33,35,37,38,39,40,43,44,45,46,54,56,57,58,59,71,81,84,85,90,93,94,96,99,101,102,107,109,115,117,118,120,121,126,128,130,133,134,136,140,142,145,149,150,151,155,156,160,162,163,170,171,173,174,176,179,181,188,191,192,195,197,199,201,202,206,208,214,216,217,224,225,229,235,236,240,242,243,244,245,262,263,265,266,267,268,269,270,273,276,277,283,284,288,290,292,294,297,299,302,304,314,315,321,324,333,337,340,347,349,350,353,355,360,364,368,372,373,374,379,383,385,386,389,394,395,402,404,409,411,412,414,429,430,436,437,444,446,447,450,451,453,455,456,458,465,467,468,469,470,474,476,481,485,486,492,498,501,507,512,521,524,529,530,535,536,541,544,546,547,554,559,565,566,569,571,572,574,575,577,579,584,587,588,589,591,592,595,597,602,603,604,607,609
"'burbs, The (1989)",,,,3.18,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,,
...And Justice for All (1979),,,,3.45,,,,2.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.43,,
1-900 (06) (1994),,,,2.85,,,,1.96,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,,
10 Things I Hate About You (1999),,,,3.32,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,3.0,3.39,,
101 Dalmatians (1996),,,,3.13,,,,1.0,,,,3.0,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,4.0,,,4.0,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0,3.07,,
101 Dalmatians (One Hundred and One Dalmatians) (1961),,,,3.43,,,,2.6,,3.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.28,,
12 Angry Men (1957),,5.0,,2.88,,,,2.09,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.23,,
"13th Warrior, The (1999)",4.0,,,1.41,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,
187 (One Eight Seven) (1997),,,,2.09,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08,,
